id,paragraph,problems,question_plus,hint
generation-for-nlp-425,"상소하여 아뢰기를 , “신이 좌참 찬 송준길이 올린 차자를 보았는데 , 상복(喪服) 절차에 대하여 논한 것이 신과는 큰 차이가 있었습니다 . 장자를 위하여 3년을 입는 까닭은 위로 ‘정체(正體)’가 되기 때문이고 또 전 중(傳重: 조상의 제사나 가문의 법통을 전함)하기 때문입니다 . …(중략) … 무엇보다 중요한 것은 할아버지와 아버지의 뒤를 이은 ‘정체’이지, 꼭 첫째이기 때문에 참 최 3년 복을 입는 것은 아닙니다 .”라고 하였다 .－현종실록 ","{'question': '상소한 인물이 속한 붕당에 대한 설명으로 옳은 것만을 모두 고르면? ', 'choices': ['ㄱ, ㄴ', 'ㄱ, ㄷ', 'ㄴ, ㄹ', 'ㄷ, ㄹ'], 'answer': 2}", ㄱ.기사환국으로 정권을 장악하였다 .ㄴ.인조반정을 주도 하여 집권세력이 되었다 .ㄷ.정조 시기에 탕평 정치의 한 축을 이루었다 .ㄹ.이 이와 성혼의 문인을 중심으로 형성되었다.,"지문에 등장하는 송준길은 조선 중기에 활동했던 유교 정치가로, 서인 소속입니다. 서인은 유교적 가치관을 중시하며 정치적 중심세력으로 자리 잡았습니다. 특히 성리학을 바탕으로 한 이론적 접근이 특징적이며, 위로는 정체성을 강조하는 가문 중심의 제도 개선을 추구했습니다. 이와 대립하는 동인은 보다 실용적인 접근을 취했습니다. 송준길의 상소는 장자에 대한 3년 상복의 의미를 논의하며, 조상의 제사와 가문의 법통 전통을 중시함을 보여 줍니다. 이는 서인의 유교적 가치관을 반영한 것입니다."
generation-for-nlp-427,나는 삼한(三韓) 산천의 음덕을 입어 대업을 이루었다.(가)는/은 수덕(水德)이 순조로워 우리나라 지맥의 뿌리가 되니 대업을 만대에 전할 땅이다. 왕은 춘하 추동네 계절의 중간달에 그곳에 가 100일 이상 머물러서 나라를 안녕케 하라. － 고려사－,"{'question': '(가) 지역에 대한 설명으로 옳은 것은?', 'choices': ['이곳에 대장도감을 설치하여 재조대장경을 만들었다.', '지눌이 이곳에서 수선사 결사운동을 펼쳤다.', '망이 ․망소이가 이곳에서 봉기하였다.', '몽골이 이곳에 동녕부를 두었다.'], 'answer': 4}",,"지문에 언급된 '삼한(三韓)'은 고대 한반도의 세 주요 국가인 마한, 진한, 변한을 의미합니다. 이들 국가는 기원전 1세기부터 3세기경까지 존재했으며, 후에 고구려, 백제, 신라로 발전하는 토대가 되었습니다. '수덕'은 물과 관련된 기운을 뜻하며, 고대 한국에서는 지리적, 자연적 환경이 국가의 번영에 중대한 영향을 미쳤다고 여겼습니다. 고려사는 고려 왕국의 역사서로, 이 시기에 왕은 특정 지역에서 지혜와 힘을 얻어 국가를 안정시키라는 조언을 받는 내용을 담고 있습니다. 따라서 '가' 지역은 삼한의 뿌리와 관련된 중요한 지역으로, 자연과 영적인 힘을 융합한 장소로 인식됩니다."
generation-for-nlp-428,"이 날 소정방이 부총관 김인문 등과 함께 기 벌포에 도착하여 백제 군사와 마주쳤다. …(중략) …소정방이 신라군이 늦게 왔다는 이유로 군문에서 신라 독군 김문영의 목을 베고자 하니, 그가 군사들 앞에 나아가 “황산 전투를 보지도 않고 늦게 온 것을 이유로 우리를 죄 주려 하는구나. 죄도 없이 치욕을 당할 수는 없으니, 결단코 먼저 당나라 군사와 결전을 한 후에 백제를 쳐야겠다.”라고 말하였다.","{'question': '밑줄 친 ‘그’에 대한 설명으로 옳은 것은?', 'choices': ['살수에서 수의 군대를 물리쳤다 .', '김춘추 의 신라 왕위 계승을 지원하였다 .', '청해진을 설치하고 해상 무역을 전개하였다 .', '대가야를 정벌하여 낙동강 유역을 확보하였다 .'], 'answer': 2}",,"밑줄 친 ‘그’는 신라 독군 김문영을 지칭합니다. 김문영은 신라의 장군으로, 660년 백제를 공격하기 위해 출정한 인물입니다. 소정방은 당나라의 군장으로, 신라와 협력하여 백제를 정복하는 과정에서 신라군의 늦은 참전으로 갈등이 발생했습니다. 황산 전투는 신라와 당나라 연합군과 백제 간의 주요 전투로, 김문영은 신라 군의 명예를 지키기 위해 먼저 당군과 결전을 주장했습니다. 이러한 사건은 신라와 당나라의 관계 및 백제 멸망의 중요한 전환점을 보여줍니다."
generation-for-nlp-429,"선비들 수만 명이 대궐 앞에 모여 만 동묘와 서원을 다시 설립할 것을 청하니, (가)이/가 크게 노하여 한성부의 조례(皂隷)와 병졸로 하여 금 한 강 밖으로 몰아내게 하고 드디어 천여 곳의 서원을 철폐하고 그 토지를 몰수하여 관에 속하게 하였다.－대한계년사 －","{'question': '(가) 인물이 추진한 정책으로 옳지 않은 것은?', 'choices': ['사창제를 실시하였다 .', '대전회통을 편찬하였다 .', '비변사의 기능을 강화하였다 .', '통상 수교 거부 정책을 추진하였다 .'], 'answer': 3}",,"지문의 (가)는 조선시대의 왕인 성종(1469-1494)으로 보입니다. 그는 성리학을 바탕으로 서원과 동묘의 설립을 허용하지 않고, 이들을 철폐한 정책을 추진했습니다. 성종의 정책 중 옳지 않은 것은 관권을 강화하려고 서원을 대규모로 철폐하고, 민간 신앙과 학문적 자율성을 억압한 것입니다. 이로써 그는 성리학의 독점적 지배를 강화했지만, 지역 사회의 학문적 중심이었던 서원과의 갈등을 초래했습니다."
generation-for-nlp-431,"(가)의 사신 고제덕 등이 일본에 와서 왕이 보낸 국서를 전하였다. 그 국서에 이르기를 “나(대무 예)는 큰 나라를 맡아 여러 주변국을 다스렸으며, 고구려의 옛 땅을 회복하였고 부여의 풍속을 이었다.”라고 하였다.","{'question': '(가) 국가에 대한 설명으로 옳은 것은?', 'choices': ['나 당연합군의 공격으로 멸망하였다 .', '9주 5소경의 지방 행정 구역을 두었다 .', '중앙 행정 기구로 3성 6부를 설치하였다 .', '고구려의 수도였던 평양을 서경으로 삼았다 .'], 'answer': 3}",,"(가)에서 언급된 국가는 신라입니다. 고제덕은 신라의 사신으로, 대무예는 신라의 제29대 왕인 성왕을 뜻합니다. 이 시기는 6세기 중반으로, 신라는 삼국 시대 동안 고구려, 백제와 대립하며 세력을 확장했습니다. 고구려의 옛 땅 회복은 신라의 전쟁과 외교 정책을 의미하며, 부여의 풍속은 고구려와 백제의 문화적 유산을 이어받았음을 암시합니다. 이와 같은 외교적 활동은 일본과의 관계에서도 신라의 정치적 의도를 보여줍니다."
generation-for-nlp-432,(가)신라의 한강 유역 확보 (나)관산성 전투(다) 백제의 웅진 천도 (라)고구려의 평양 천도,"{'question': '다음 사건을 시기 순으로 바르게 나열한 것은?', 'choices': ['(가)→(라)→(나)→(다)', '(나)→(다)→(가)→(라)', '(다)→(나)→(가)→(라)', '(라)→(다)→(가)→(나) '], 'answer': 4}",,"위의 사건들은 삼국 시대에 해당하며, 각각의 사건은 다음과 같은 시기와 맥락을 가집니다. 1. **신라의 한강 유역 확보**: 5세기 중반, 신라는 한강 유역을 확보하여 백제와의 세력 균형을 맞추려 했습니다. 2. **관산성 전투**: 545년, 신라의 진흥왕과 백제의 성왕 간의 전투로, 신라의 승리로 이어졌습니다. 3. **백제의 웅진 천도**: 475년, 백제는 위축된 세력을 회복하기 위해 웅진(현재의 공주)으로 천도하게 됩니다. 4. **고구려의 평양 천도**: 427년, 고구려가 평양으로 수도를 옮겨 강력한 중앙 집권 체제를 확립하게 됩니다. 따라서 사건을 시기 순으로 나열하면: (라) 고구려의 평양 천도 → (다) 백제의 웅진 천도 → (가) 신라의 한강 유역 확보 → (나) 관산성 전투입니다."
generation-for-nlp-433,"신돈이 (가)을/를 설치하자고 요청하자, …(중략)…이 제 도감이 설치되었다. …(중략)… 명령이 나가자 권세가 중에 전민을 빼앗은 자들이 그 주인에게 많이 돌려주었으며, 전국에서 기뻐하였다.－고려사－","{'question': '(가)에 대한 설명으로 옳은 것은?', 'choices': ['시 전의 물가를 감독하는 임무를 담당하였다 .', '국가재정의 출납과 회계 업무를 총괄하였다 .', '불법적으로 점유된 토지와 노비를 조사하였다 .', '부족한 녹봉을 보충하고자 관료에게 녹과 전을 지급하였다 .'], 'answer': 3}",,"(가)에 해당하는 내용은 '전민변정도감'입니다. 전민변정도감은 고려 우왕 때 신돈이 설치한 기관으로, 당시 사회에서 권력을 남용해 전민(농민)의 토지를 강탈한 권세가들에게 농민의 권리를 회복해주기 위해 설립되었습니다. 이는 권력을 가진 지주들로부터 농민을 보호하고, 사회적 불평등을 어느 정도 완화하고자 하는 의도로 진행되었습니다. 신돈은 고려 후기 사회의 권력층과 갈등을 겪으며, 개혁적인 정책을 추진한 인물로, 그의 노력에도 불구하고 복잡한 사회적 저항을 마주했습니다."
generation-for-nlp-435,"올해 초가을에 비로소 저는 책을 완성하여 그 이름을 성학집요 라고 하였습니다. 이 책에는 임금이 공부해야 할 내용과 방법, 정치하는 방법, 덕을 쌓아 실천하는 방법과 백성을 새롭게 하는 방법이 실려 있습니다. 또한 작은 것을 미루어 큰 것을 알게 하고 이것을 미루어 저것을 밝혔으니, 천하의 이치가 여기에서 벗어나 지 않을 것입니다. 따라서 이것은 저의 글이 아니라 성현의 글이 옵니다.","{'question': '밑줄 친 ‘저’에 대한 설명으로 옳은 것은?', 'choices': ['예안향약을 만들었다 .', '동호문답 을 저술하였다 .', '백운동 서원을 건립하였다 .', '왕자의 난 때 죽임을 당했다 .'], 'answer': 2}",,"지문에서 언급된 ‘저’는 조선시대의 성리학자인 이이(李珥)를 가리킵니다. 그는 16세기 중반에서 후반에 활동한 인물로, 조선의 유학을 발전시키고 정치와 교육의 혁신을 꾀했습니다. '성학집요'는 그의 대표적인 저서로, 성리학의 원리와 정치적 실천 방법을 다루고 있습니다. 이이는 성현의 가르침을 바탕으로 자신과 조선 사회의 도덕적 지침을 제시하고, 국가의 부흥과 백성의 갱생을 위한 방법론을 모색했습니다. 그의 사상은 후대 유학자들에게 큰 영향을 미쳤습니다."
generation-for-nlp-436,"(가)은/는 의병계열과 애국계몽 운동 계열의 비밀결사가 모여 결성된 조직으로, 총사령 박상진을 중심으로 독립군 양성을 목적으로 하였다.","{'question': '(가)에 대한 설명으로 옳지 않은 것은?', 'choices': ['공화제 국가 수립을 지향하였다.', '군자금을 모집하고 친일파를 공격하였다.', '북간도에서 무장독립단체인 중광단을 조직하였다.', '경상도 일대에서 결성되어 전국 조직으로 확대하였다.'], 'answer': 3}",,"지문에서 언급된 (가)는 '연해주 대한독립군' 또는 '대한광복군'을 가리킬 가능성이 높습니다. 이 조직은 1910년대 초에 의병들과 애국계몽 운동가들에 의해 결성되었으며, 박상진은 이러한 독립운동의 중심 인물 중 하나로, 의병 활동과 더불어 군사적 독립을 추구했습니다. 당시 한국은 일본의 식민지 진압 하에 있었으며, 다양한 독립운동 세력이 존재했습니다. 이들은 일본 제국의 압박에 맞서 싸우기 위해 조직적으로 결합하여 독립군 양성을 목표로 하였으며, 이는 3.1 운동 및 이후의 독립운동으로 이어지는 중요한 배경이 됩니다."
generation-for-nlp-437,1929년에 통학열차를 이용하던 한 일본인 학생이 한국인 여학생을 희롱한 사건이 일어났다. 이에 분노한 한국인 학생은 일본인 학생에 맞서 싸웠다. 이 때 일제 경찰은 일본인 학생 만두둔하고 나섰다. 광주의 학생들은 이에 대응해 시위를 벌였다. 일제의 차별정책에 맞서 일어난 이 운동은 전국으로 퍼졌고 곳곳에서 동맹휴학 투쟁이 연이어 벌어졌다.,"{'question': '밑줄 친 ‘이 운동’에 대한 설명으로 옳은 것은?', 'choices': ['진주에서 조선형평사가 창설되는 결과로 이어졌다.', '조선민립대학 설립운동이 시작되는 배경이 되었다.', '신간회가 그 진상을 규명하고자 조사단을 현지에 파견하였다.', '비타협 적 민족주의자들이 조선 민흥회를 만들게 된 계기가 되었다.'], 'answer': 3}",,"‘이 운동’은 1929년 광주에서 시작된 '광주 학생 항일 운동'입니다. 이는 일제의 차별과 억압에 대한 한국 학생들의 저항으로, 한국인 학생들이 일본인 학생의 범죄에 맞서 일어난 사건에서 촉발되었습니다. 특히, 이 사건은 일본 제국의 식민통치 하에서 한국인 학생들의 자존심과 민족 의식을 일깨운 계기가 되었으며, 전국적으로 동맹휴학과 시위가 이어졌습니다. 이 운동은 한국의 독립 운동에 큰 영향을 미쳤고, 민족 비인간성을 드러내는 데 기여했습니다."
